GEOID,Geographic Area Name,Total_Number_Households,Median income_Households,Median income (dollars)_White,Median income_Black or African American,Median income_American Indian and Alaska Native,Median income_Asian,Median income_Native Hawaiian and Other Pacific Islander,Median income_Some other race,Median income_Two or more races,Median income_Hispanic or Latino origin (of any race),"Median income_White alone, not Hispanic or Latino",Total_Workers,Total_Workers_Median age (years),Public transportation_popu,"Public transportation_$1 to $9,999 or loss","Public transportation_$10,000 to $14,999","Public transportation_$15,000 to $24,999","Public transportation_$25,000 to $34,999","Public transportation_$35,000 to $49,999","Public transportation_$50,000 to $64,999","Public transportation_$65,000 to $74,999","Public transportation_$75,000 or more",Public transportation_Median earnings (dollars),Public transportation_ whom poverty status is determined,Public transportation_Below 100 percent of the poverty level,Public transportation_100 to 149 percent of the poverty level,Public transportation_At or above 150 percent of the poverty level,Public transportation_Workers 16 years and over who did not work from home,Public transportation_ DEPARTURE TO WORK_12:00 a.m. to 4:59 a.m.,Public transportation _DEPARTURE TO WORK_5:00 a.m. to 5:29 a.m.,Public transportation _DEPARTURE TO WORK_5:30 a.m. to 5:59 a.m.,Public transportation _DEPARTURE TO WORK_6:00 a.m. to 6:29 a.m.,Public transportation _DEPARTURE TO WORK_6:30 a.m. to 6:59 a.m.,Public transportation _DEPARTURE TO WORK_7:00 a.m. to 7:29 a.m.,Public transportation _DEPARTURE TO WORK_7:30 a.m. to 7:59 a.m.,Public transportation _DEPARTURE TO WORK_8:00 a.m. to 8:29 a.m.,Public transportation _DEPARTURE TO WORK_8:30 a.m. to 8:59 a.m.,Public transportation _DEPARTURE TO WORK_9:00 a.m. to 11:59 p.m.,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes,Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)
36047022400,Census Tract 224; Kings County; New York,1285,57457,50184,0,0,68527,0,73198,0,74555,45450,1697,41.4,566,16.1,2.1,15.9,11.1,9.4,12.5,10.1,22.8,46296,566,4.8,5.5,89.8,566,0,0,0,14.1,2.3,13.6,12.9,23.9,1.9,31.3,0,0,0,0,0,27.2,12.7,22.1,38,N
36047022600,Census Tract 226; Kings County; New York,556,79022,0,0,0,61964,0,88889,0,36042,134375,754,37.9,209,3.8,5.7,7.2,9.6,13.4,3.3,16.3,40.7,71066,209,5.7,9.6,84.7,209,0,0,0,18.7,3.8,25.4,0,17.7,5.7,28.7,0,0,0,0,0,22.5,12,5.7,59.8,N
36047022700,Census Tract 227; Kings County; New York,1926,122400,151875,54272,0,196591,0,0,204063,151176,159148,2344,34.2,1394,2.9,1.3,4.2,8.2,2.8,12.6,5.1,62.8,109000,1394,1.9,1.9,96.2,1394,3.2,0.3,1.4,4.7,2.7,11.1,16.7,23.2,20.2,16.6,0,2.4,3.8,5.3,5.1,16.9,13.1,29.7,23.7,43.7
36047022800,Census Tract 228; Kings County; New York,813,40089,31894,0,0,0,0,0,0,58646,30871,1056,41,318,18.9,8.8,17.3,5,2.5,31.4,3.1,12.9,0,313,16.9,12.8,70.3,318,0,3.8,0,0,0,29.2,6.3,10.1,33.6,17,8.8,0,0,10.1,2.5,28.9,16,5,28.6,N
36047022900,Census Tract 229; Kings County; New York,1541,121997,123333,48681,0,197386,0,0,"250,000",0,122363,2272,33.5,1162,9.8,4.2,4.8,3.6,11.8,9.1,8.2,48.5,72857,1162,9,2.4,88.6,1162,0,1.5,0,6.4,4,5.9,11.7,23.5,18.7,28.4,0,0,0,0.9,7.5,11.4,32.1,25.5,22.6,N
36047023000,Census Tract 230; Kings County; New York,959,53208,67697,0,0,0,0,26196,0,0,67533,1063,40.4,309,4.2,9.4,24.9,11.3,29.8,0,6.1,14.2,35030,309,0,17.8,82.2,309,3.9,0,0,6.8,5.2,0,0,66,8.4,9.7,0,0,0,0,0,27.2,9.1,12.3,51.5,N
36047023100,Census Tract 231; Kings County; New York,1683,150288,179219,81667,0,"25,000",0,0,0,0,169650,2176,33.8,868,5.1,2.1,10,3.3,9.1,8.9,6.8,54.7,81814,868,5.1,8.8,86.2,868,2.4,1.3,1.4,3,5.1,9.3,3.6,16,25.3,32.6,0,0,3.7,0,4.3,15.2,27.3,40.6,9,N
36047023200,Census Tract 232; Kings County; New York,1181,62973,63920,0,0,30987,0,0,0,0,64575,1636,41.2,182,35.2,0,25.3,0,11.5,0,0,28,0,182,25.3,0,74.7,182,0,0,0,35.2,0,0,0,58.8,0,6,0,0,0,0,0,9.3,0,85.2,5.5,47
36047023300,Census Tract 233; Kings County; New York,2188,80000,149679,39972,0,0,0,0,0,0,148393,3489,35.4,1732,5.9,14.4,11.8,4.4,18.7,17.8,3.2,23.8,48707,1732,27,0,73,1732,4,0.4,2.6,0.7,7,3.4,0,32.6,21.9,27.4,0,0,0,4.4,1.8,9.7,28.3,41.6,14.2,42.7
36047023400,Census Tract 234; Kings County; New York,1382,31411,30571,0,0,0,0,0,0,0,30571,1410,33.6,311,0,21.5,14.8,34.1,22.2,3.5,0,3.9,32188,311,19.9,20.9,59.2,311,0,0,0,9.3,0,21.2,0,19.9,0,49.5,0,0,0,0,0,10.9,10.9,6.4,71.7,N
36047023500,Census Tract 235; Kings County; New York,1363,65417,58125,0,0,0,0,0,206111,139211,55924,1846,34.9,694,1.3,3.7,11.5,8.9,24.6,11.5,1.4,36.9,49861,694,7.8,5.2,87,694,4.3,0,0,6.8,1.3,1.9,7.9,24.6,13.4,39.8,0,0,1.6,0,3.9,19,16.4,33.6,25.5,N
36047023600,Census Tract 236; Kings County; New York,1472,36524,32272,0,0,0,0,0,0,0,32272,1679,28.7,377,13,10.1,5.3,32.6,21.5,6.9,1.9,8.8,31179,377,19.1,6.9,74,377,0,0,0,0,0,20.7,1.9,43.2,1.3,32.9,0,0,0,0,0,12.7,5.3,42.2,39.8,N
36047023800,Census Tract 238; Kings County; New York,1125,40335,38531,0,0,0,0,0,0,0,38531,1085,35.5,199,31.7,22.6,20.6,11.1,0,0,9.5,4.5,14183,199,24.6,15.6,59.8,199,0,0,0,0,0,0,11.1,46.2,19.1,23.6,0,4.5,4.5,4,9.5,0,0,18.6,58.8,N
36047024000,Census Tract 240; Kings County; New York,1512,43371,44413,0,0,0,0,0,0,0,44053,1724,39.3,591,2.2,20.1,19.8,24.2,18.8,0,0,14.9,29886,591,27.9,7.6,64.5,591,4.7,0,0,14.4,0,21.8,4.4,29.6,1.7,23.4,0,0,0,5.6,0,3.4,4.1,25.4,61.6,N
36047024100,Census Tract 241; Kings County; New York,1090,76528,130265,0,0,0,0,0,72880,75208,130985,1679,31.3,769,15.1,2.5,5.3,2.6,13.5,17,21.2,22.8,52156,769,12.7,6.6,80.6,769,0,0,0,5.1,0.7,8.2,26.3,7,15.3,37.5,0,0,0,2.3,1.3,17.7,20.9,38.2,19.5,44.1
36047024200,Census Tract 242; Kings County; New York,700,56250,55521,0,0,107857,0,46313,0,45357,55729,860,39.8,150,0,10,7.3,32,6,24.7,20,0,45278,150,0,15.3,84.7,150,9.3,10.7,0,0,0,0,12,27.3,0,40.7,0,0,0,0,0,0,7.3,30,62.7,N
36047024300,Census Tract 243; Kings County; New York,1965,94107,133846,58064,0,113734,0,11875,"250,000",13980,136548,2607,37.1,1737,7.4,3.1,4.8,7.5,13.8,23.7,8.2,31.5,56369,1737,5.6,8.1,86.3,1737,0.6,0,2.3,7.9,0.6,11.2,7.7,19.6,19.2,30.9,0,0,0.6,2.3,1.8,24,13.9,35.8,21.5,N
36047024400,Census Tract 244; Kings County; New York,963,58342,54950,0,0,85808,0,0,0,50871,54350,1137,40.6,359,29,4.5,10,12.3,10.9,7.2,8.9,17.3,28866,359,6.7,2.5,90.8,359,0,0,0,0,5,7.8,12.3,29,0,46,0,2.5,8.6,0,0,9.2,5,43.5,31.2,N
36047024500,Census Tract 245; Kings County; New York,1985,100547,132417,73125,0,0,0,78676,0,61458,137688,2704,37.4,1597,5.1,1.5,5.6,21.4,9,8.3,8.4,40.8,64464,1597,3.6,0.6,95.9,1597,0,4.5,4.1,7.2,4.1,12.8,7.9,23.7,8.8,27,0,0,1.2,5.8,0.6,16.7,19.2,37.7,18.8,44.6
36047024600,Census Tract 246; Kings County; New York,879,76652,90446,0,0,69583,0,64167,0,64732,98958,1326,40.4,426,2.8,9.9,17.6,8.9,25.4,22.3,2.3,10.8,37054,426,0,12.4,87.6,426,0,0,2.1,2.1,22.5,22.1,13.4,21.6,3.1,13.1,0,0,0,0.2,0,4.5,2.8,46,46.5,53.4
36047024700,Census Tract 247; Kings County; New York,1306,63200,139400,22241,0,0,0,13079,0,53564,148393,1569,31.8,713,5.9,5.2,10.5,11.5,9.1,15,9.5,33.2,57969,713,3.8,0,96.2,713,0,0,4.8,3.2,6.5,10.1,4.1,19.4,13,39,0,0,0,1.7,1.4,10.2,37.7,18.8,30.2,N
36047024800,Census Tract 248; Kings County; New York,746,61466,56793,0,0,61164,0,76645,0,76711,56196,944,39.7,330,20.9,2.7,11.2,3.9,17.6,29.4,9.1,5.2,40455,330,11.5,6.7,81.8,330,0,0,0,7.3,1.5,13.3,2.7,36.1,15.2,23.9,0,0,10,3.3,0,13,17,30,26.7,43.5
36047024900,Census Tract 249; Kings County; New York,1877,85871,93250,61303,0,0,0,0,217611,218403,93575,2298,32.7,1520,8.9,4.7,4.7,7.4,22.1,11.4,8.6,32.1,54671,1520,11.3,0.7,88,1520,0,1.7,2.2,1.6,3,13.4,5.8,21.5,13.5,37.4,0,0,3,3.2,8.1,20.2,21.8,20.8,23,N
36047025000,Census Tract 250; Kings County; New York,553,51875,37011,0,0,48050,0,154224,0,153578,36685,853,40.7,331,17.5,2.4,22.1,25.7,12.1,13,4.5,2.7,31343,331,13.3,9.4,77.3,331,0,0,0.6,15.1,6.3,11.8,6.6,17.5,9.1,32.9,0,0,5.7,0,0,9.7,10,35,39.6,N
36047025100,Census Tract 251; Kings County; New York,1696,56111,157738,47844,0,0,0,22134,162734,23205,0,2011,34,1266,4.3,24.5,5.5,10,23,9.8,5,17.9,36376,1266,11.6,2.8,85.6,1266,1.8,6.2,0,21.7,10.3,3.9,14,11.8,6.5,23.8,0,0,0,1.7,0,10.6,21.9,34.6,31.3,N
36047025200,Census Tract 252; Kings County; New York,1894,54750,64833,0,0,32063,0,59297,0,63438,64139,1971,46.4,1169,14.2,1.2,32.8,10.4,11.5,9.4,11,9.3,26025,1169,9,16.9,74.2,1169,3.8,4.9,4.4,0.9,8.3,13.3,3.1,8.1,2.8,50.2,0,0,2,10.8,2,13.9,11.2,8.2,51.9,N
36047025300,Census Tract 253; Kings County; New York,1333,87981,116167,55500,0,0,0,0,115313,0,128350,1812,34.9,1083,4.1,5.2,5.6,25.6,10.8,25.4,2.5,20.9,47004,1083,1.4,11.4,87.3,1083,2.2,0,7.8,8.9,9.5,11.7,7.9,13.3,23.5,15.1,3.5,0,3.7,7.8,0.3,23.2,21.9,31.2,8.4,N
36047025400,Census Tract 254; Kings County; New York,1215,83637,55385,0,0,86250,0,62188,0,56597,55595,1250,38.6,295,6.1,9.5,24.7,9.8,11.5,5.8,3.1,29.5,34938,295,0.3,28.1,71.5,295,0,0,0,2,0.3,3.7,12.9,15.3,21.7,44.1,0,0,0,8.8,0,6.4,0,25.4,59.3,N
36047025500,Census Tract 255; Kings County; New York,2148,22291,0,42743,0,0,0,30982,20370,21677,0,1891,37.5,1357,15.5,11.1,31.2,15.8,14.2,3.8,1.1,7.1,22364,1357,18.6,14.9,66.5,1357,5.7,3.5,1.2,5.7,3.5,23.9,13.3,9.1,9,25,0,0,0,12.9,2.2,15.5,21.5,22,25.9,N
36047025600,Census Tract 256; Kings County; New York,1117,69181,66010,0,0,74485,0,0,0,0,65433,1054,39.2,622,5.8,1.6,12.5,23.2,20.4,7.6,3.7,25.2,36991,622,0,4.2,95.8,622,1.6,0,11.3,0,4,9.8,14.5,13,5.3,40.5,0,0,0,4.3,0,18,7.9,13,56.8,N
36047025700,Census Tract 257; Kings County; New York,862,106579,143000,152969,0,0,0,83043,0,84565,144833,1573,32.3,745,8.9,0,11.7,8.6,22,17.6,6.7,24.6,45139,745,6.7,8.2,85.1,745,0,7.8,0,0,0,14.6,18.4,12.8,7.5,38.9,0,2.1,0,0,8.2,15.7,18.8,29.5,25.6,N
36047025800,Census Tract 258; Kings County; New York,1476,57431,43421,0,0,65357,0,0,0,72788,35486,1740,44.7,1045,5.4,17.7,13.3,19.1,16.9,6.2,5.6,15.7,29315,1045,17.5,6.3,76.2,1045,9.1,0,1.3,4.7,1.8,18.7,10.1,7.8,10.8,35.7,0,0,7.5,0,0,1.1,8.2,27.8,55.5,N
36047025901,Census Tract 259.01; Kings County; New York,789,75341,115859,61797,0,160750,0,0,0,0,100714,1098,32,599,4.5,0,9.5,12.7,24.9,15,7,26.4,48750,599,5.8,4.8,89.3,599,0,7.8,0,6.8,8.8,12.5,9,24,8.5,22.4,0,0,1.2,5.7,0,13.2,23,31.7,25.2,N
36047025902,Census Tract 259.02; Kings County; New York,1431,21674,0,0,0,0,0,0,11008,29595,0,1010,41.3,683,20.2,24.7,7.2,9.4,21.2,17.3,0,0,21760,683,17,14.2,68.8,683,3.1,13.3,0,25,7.5,5.1,0,21.2,1,23.7,0,0,0,25.9,0,15.1,1.8,22.3,35,N
36047026000,Census Tract 260; Kings County; New York,1068,61118,46480,0,0,72727,0,60403,0,61411,46250,1306,41.2,577,4.9,5.2,10.1,22.9,12.5,17.2,2.8,24.6,38313,577,1.7,5,93.2,577,2.3,3.8,0,10.7,13.9,22,13.3,14.9,10.4,8.7,0,0,6.4,0,0,15.1,6.9,15.8,55.8,N
36047026100,Census Tract 261; Kings County; New York,2231,81827,89236,55029,0,106500,0,0,0,83813,110625,2932,31.7,1192,0,5.2,11.6,7.5,12.5,7.9,8.9,46.5,73125,1192,0,16.7,83.3,1192,0,1.6,4.9,0,3.4,4.6,16.4,32.6,4.3,32.2,0,0,0,7.9,3.1,20.1,27.1,26.1,15.8,41.5
36047026200,Census Tract 262; Kings County; New York,793,107760,83438,0,0,112111,0,189022,0,0,84688,1258,44.2,558,7.3,4.5,22.2,15.9,12.2,7.7,1.4,28.7,35000,558,5.6,16.5,78,558,0,0,2,10.9,4.7,24.6,3.2,16.1,3.4,35.1,0,0,2.5,1.8,0,13.1,13.3,31.4,38,N
36047026300,Census Tract 263; Kings County; New York,968,77546,140125,62955,0,0,0,0,76875,0,140125,1087,39.2,638,14.4,2.7,12.1,11.3,7.7,8.3,8.6,35,51429,638,12.9,1.7,85.4,638,2.7,0,3,5.8,0,38.2,9.9,22.7,4.5,13.2,0,0,1.3,0,0,9.7,5.5,29.9,53.6,N
36047026400,Census Tract 264; Kings County; New York,1582,73029,56420,0,0,73750,0,68421,0,68289,62868,2053,40.2,1212,7.8,9.9,10.5,21,13.4,14.9,2.6,19.9,36471,1212,7.6,9.2,83.3,1212,0,1.1,2.6,4.2,3.6,23.3,11.2,5.8,13.4,34.7,0,0,0,1,0,11.1,2.1,25.9,59.9,57.9
36047026500,Census Tract 265; Kings County; New York,1869,77545,114667,63592,0,0,0,0,0,0,114833,2486,34.6,1296,10.5,3,6.5,19.4,15.4,6.8,4,34.4,45788,1296,10.8,2.7,86.5,1296,3.7,1.9,10.4,7.2,8.4,17.2,0.7,10.2,18.4,21.9,6.9,0,1.9,1.7,0,4.3,9.6,35.3,40.1,N
36047026600,Census Tract 266; Kings County; New York,1118,51724,62159,0,0,52263,0,31988,0,32029,60398,1509,40,612,15.8,5.2,11.9,21.4,17.8,12.4,0,15.4,33071,612,6.4,22.1,71.6,612,1.8,0,0.3,5.4,22.2,13.1,3.8,16.5,8.5,28.4,0,3.8,0,0,5.6,9.3,9.3,5.9,66.2,N
36047026700,Census Tract 267; Kings County; New York,1972,121771,135792,61779,0,0,0,0,146389,0,140553,2835,34.8,1340,3.1,1.2,8,12.2,14.4,15.7,4.4,41,62540,1340,4,1,95.1,1340,0,0,0.7,14.4,4.6,8.6,10.9,15.8,8.4,36.6,0,5.5,0,4.7,1.7,19.7,25.7,26.9,15.7,N
36047026800,Census Tract 268; Kings County; New York,1602,80500,86623,0,0,54293,0,0,0,0,86430,2038,43.2,859,4.4,9.2,12.2,12.5,17,15.3,7.2,22.2,45662,859,6.4,2.6,91,859,3,6.5,0,10.8,4.2,25.6,10.1,9.7,7,23.1,3.1,0,7.6,1.2,0,1,9,27.9,50.2,N
36047026900,Census Tract 269; Kings County; New York,1237,89573,124432,0,0,0,0,0,98182,98961,122841,1655,35.5,956,4.4,0.9,5.5,1.9,12.4,8.6,14.3,51.9,75357,956,7.7,0,92.3,956,0,1.2,0,4.6,2.4,9,15.3,15.1,14.4,38.1,0,0,0,0,5.4,9.2,16,47.9,21.4,N
36047027000,Census Tract 270; Kings County; New York,866,43269,31250,0,0,124261,0,0,0,0,30848,918,44,248,19.4,14.1,10.1,12.5,6,1.2,2,34.7,33438,248,11.3,11.7,77,248,0,2,0,11.3,19.4,12.5,33.5,4,0,17.3,0,0,2.4,3.6,0,16.1,9.7,25.4,42.7,52.6
36047027100,Census Tract 271; Kings County; New York,1373,96016,142125,69750,0,0,0,0,0,0,142125,1864,35.7,581,3.6,13.6,6,9.1,15,16.2,17,19.4,55255,581,5.2,2.4,92.4,581,1.7,0,0,2.4,15.7,17.6,2.2,29.3,2.6,28.6,0,3.4,0,2.4,2.8,10.5,23.4,17.9,39.6,N
36047027200,Census Tract 272; Kings County; New York,1386,64286,55380,0,0,76125,0,101736,0,102611,0,1792,43.6,917,9.3,3.2,14.5,27.5,19.4,8.6,3.6,14,32493,917,5,10.9,84.1,917,1,1.9,3.3,0.9,3.2,29.2,5.1,12.8,10.3,32.5,0,1,2.2,2,0,18.3,5.1,28.5,43,N
36047027300,Census Tract 273; Kings County; New York,1440,95735,129342,87202,0,0,0,0,"250,000",0,129342,1956,40.9,798,3.3,6.4,10.8,8.3,12.5,13.4,12.8,32.6,53872,798,0.5,16.7,82.8,798,4.5,6.4,3.1,0,0.5,5.1,22.8,24.6,9.1,23.8,0,0,2.4,0,5.5,14.3,13.5,47.6,16.7,N
36047027400,Census Tract 274; Kings County; New York,943,51738,45560,0,0,90313,0,0,0,56302,45539,1344,44.7,708,18.6,3.1,18.5,8.1,13.6,12.6,9.3,16.2,36429,708,10.3,10.9,78.8,708,14.8,4.9,0,13.7,1.6,19.5,17.8,6.6,4.2,16.8,0,1.4,2.8,1.7,0,15.3,5.8,20.5,52.5,N
36047027500,Census Tract 275; Kings County; New York,1831,85466,117917,86544,0,153000,0,0,50195,71250,119444,2341,35.6,1523,5.4,2.8,8.7,12.7,21.5,10.8,10.9,27.1,49422,1523,5.1,2.2,92.6,1523,0,0.4,2.6,6.7,10.9,16.9,10.3,11.7,15.4,25,0,0.4,0,0,2.8,13,17,35,31.8,N
36047027600,Census Tract 276; Kings County; New York,1348,60652,61797,0,0,56111,0,22100,66188,63889,60964,1592,44.4,774,10.1,6.8,7.4,9.9,22,19,5.8,19,43816,774,5.6,16.9,77.5,774,9.4,4.9,0,3.6,0,12,18.1,21.2,6.5,24.3,6.3,0,9.2,6.7,0,4.4,27.1,19.4,26.9,N
36047027700,Census Tract 277; Kings County; New York,1586,67926,114750,54750,0,0,0,0,230326,0,96905,1767,38.7,948,8.9,8.1,13.3,8.1,22.2,6.2,8.4,24.8,45158,948,17.9,1.9,80.2,948,10.4,0,2.7,0,8.5,5.7,9.8,16.6,7,39.2,0,0,0,1.5,1.2,25,6.9,24.5,41,N
36047027800,Census Tract 278; Kings County; New York,1149,66113,60954,0,0,87596,0,0,0,83611,60855,1459,37.8,802,4.6,4.5,14.5,14.6,19.1,24.1,4.6,14.1,45686,802,6.6,3.9,89.5,802,5.2,0,0,0,2.5,28.3,12.5,24.7,6.5,20.3,0,0,0,0,0.4,8.9,18.5,15.7,56.6,N
36047027900,Census Tract 279; Kings County; New York,1684,65433,113803,53125,0,0,0,0,0,65962,113298,1881,34.8,821,14.4,3,29.7,12.2,11.8,5.4,1.5,22,29280,821,17.4,13.9,68.7,821,6.6,0,0,5.8,0,9.9,8.9,25.8,5.5,37.5,0,0,0,0,0,25.7,26.7,16.8,30.8,N
36047028000,Census Tract 280; Kings County; New York,631,84076,65987,0,0,115000,0,147827,0,93688,65000,764,46.6,389,2.8,10,12.6,6.4,20.8,18.5,2.3,26.5,47813,389,3.3,0.8,95.9,389,7.7,1.8,1.5,6.4,10,8,11.6,31.9,5.4,15.7,0,0,1,10,1.8,14.4,12.9,12.3,47.6,N
36047028100,Census Tract 281; Kings County; New York,1818,43176,123309,37500,0,0,0,27366,0,27865,130294,2211,32.2,1256,4.7,6.8,10.7,22.1,13.5,16,4,22.2,41181,1256,14.4,9.1,76.5,1256,8.5,0.6,5,2.9,5.7,7.6,7.5,33,5.1,24.1,0,0,3,3.2,0.6,9.5,11.5,28.3,44,N
36047028200,Census Tract 282; Kings County; New York,1236,51646,49176,0,0,69837,0,227404,0,0,48989,1290,44.4,680,12.2,4.9,8.7,11.9,24.1,15.9,7.8,14.6,41389,680,6.2,1.2,92.6,680,3.5,2.9,1.3,0,4.7,9.9,8.5,20.7,2.9,45.4,0,0,0,0,5.3,2.9,8.8,10.4,72.5,N
36047028300,Census Tract 283; Kings County; New York,1595,43254,65417,19313,0,0,0,55304,0,55574,65278,1471,30.9,984,14.3,7.2,8.8,22.9,13.8,15.9,12.1,5,31738,984,12.3,13.4,74.3,984,0,4.1,5.4,0,4.5,7.8,9.5,15.2,2.6,50.9,0,0,0,3.3,6.6,24.9,27.5,20.2,17.5,N
36047028400,Census Tract 284; Kings County; New York,1357,58373,51875,0,0,88563,0,0,0,58431,50303,1313,42.7,564,8.9,8.7,17,27.3,13.7,0,4.1,20.4,33912,564,7.3,8,84.8,564,0,0.4,10.1,3.5,0.5,5.9,11,22.2,6,40.4,0,0,0,2.8,0,11.2,24.1,19.3,42.6,N
36047028501,Census Tract 285.01; Kings County; New York,226,55192,67813,56442,0,0,0,0,73750,0,69844,318,34.5,258,1.9,5.8,11.2,16.7,27.1,12.8,14.7,9.7,42375,258,12.8,7,80.2,258,0,0,4.7,0,0,2.3,0,3.9,11.6,77.5,0,0,0,9.7,6.2,21.7,19.8,26.4,16.3,N
36047028502,Census Tract 285.02; Kings County; New York,1167,34659,0,42948,0,0,0,11181,0,42292,0,1042,42.7,749,2.3,33,13,18,14.8,14.6,0,4.4,25964,749,29,0,71,749,3.7,5.2,0,5.7,0,15.4,1.5,13.8,0,54.7,0,0,0,0,12.7,22.8,8.8,32.2,23.5,N
36047028600,Census Tract 286; Kings County; New York,1883,45918,45203,0,0,45360,0,0,36389,59324,43824,1995,41.3,990,13.8,3.4,33.4,5.9,13.3,18.7,1.8,9.6,24836,990,10.5,4.4,85.1,990,0,2.3,0,0.7,10.8,19.1,9.2,18.4,0,39.5,0,0,0.7,1.5,0,9.3,7.7,28.5,52.3,62
36047028700,Census Tract 287; Kings County; New York,1264,58247,108448,53594,0,0,0,29621,0,56370,109630,1552,31.3,778,0,4.1,18.5,7.7,15.8,19.5,7.1,27.2,54107,778,6.4,8.9,84.7,778,0,0,1.8,0,3.2,2.1,4.1,34.3,3.7,50.8,0,0,3.2,0,0,16.3,36.4,27.6,16.5,N
36047028800,Census Tract 288; Kings County; New York,1096,58000,33858,0,0,86652,0,0,0,0,33728,1462,40.1,937,8.5,4.8,11.5,21.8,12.4,12.5,4.4,24.1,43009,937,10.9,11.5,77.6,937,0,1.7,4.2,0,17.8,6.7,0.9,22.4,4.8,41.5,0,0.9,4.8,3.2,0,24.4,4.6,20.8,41.3,N
36047028900,Census Tract 289; Kings County; New York,1548,42456,48012,0,0,0,0,0,70109,40203,0,1954,34.7,838,6.3,13.6,25.3,12.6,24,3.6,0.8,13.7,29357,838,19.9,9.5,70.5,838,9.7,0,3.2,0,0,16,9.7,24.7,8.5,28.3,0,0,0,1.9,0,18,26.6,21.6,31.9,N
36047029000,Census Tract 290; Kings County; New York,1476,55545,29306,0,0,126708,0,0,0,105102,22500,1054,39.4,513,6.6,1.2,9.6,5.5,11.7,21.2,9.4,34.9,59036,513,1.2,0,98.8,513,5.7,0,1.8,5.5,0,11.1,20.1,38.8,0,17.2,0,0,2.3,13.6,0,6,10.9,7.6,59.5,N
36047029100,Census Tract 291; Kings County; New York,1413,101719,123182,75089,0,0,0,94549,0,93854,124318,2239,33.6,1099,5.6,0.8,11.6,14.4,21.4,18.8,12.7,14.6,46250,1099,9,5.6,85.4,1099,11.4,2.8,3.6,3.2,0,9.5,5.1,27.8,1.5,35.2,0,0,0,0.2,0,15.2,15.8,26.6,42.2,N
36047029200,Census Tract 292; Kings County; New York,1041,45708,29286,87083,0,36389,0,53663,0,53897,29107,1058,39.4,618,2.9,3.1,16,10.4,31.2,15.5,1.6,19.3,42406,618,2.1,17,80.9,618,0.6,9.9,3.2,13.8,3.4,6.1,15.9,18.6,6.8,21.7,0,0,0,0,0.6,2.9,9.5,18.6,68.3,N
36047029300,Census Tract 293; Kings County; New York,1463,52361,110446,0,0,0,0,0,0,48668,111205,1458,41.8,914,6,1.4,6.7,17.6,29.5,9.7,2.5,26.5,45565,914,5.5,13.6,81,914,0,3.8,0,1.8,5.3,14.7,10,36.9,10.1,17.6,0,0,0,2.4,1.4,23.7,19.7,30.7,22,N
36047029400,Census Tract 294; Kings County; New York,667,82784,60313,0,0,54426,0,0,138369,122241,59485,850,41.2,477,0.8,3.4,31.2,6.1,22.6,10.9,4.4,20.5,45123,477,11.7,11.1,77.1,477,0,0.6,9,4.4,6.3,0,14.7,26.2,9,29.8,0,0,0,0,1.5,1,3.4,16.4,77.8,63.2
36047029500,Census Tract 295; Kings County; New York,1896,100750,151989,71250,0,0,0,0,0,90175,151989,2321,41.5,1502,9.7,3.3,10.1,4.3,4.7,12.5,4.1,51.3,79674,1502,4.5,3,92.5,1502,4.1,0,6.2,3.7,0.7,7.1,18.5,28.8,9.2,21.7,0,0,2.9,3.8,0,12.2,10.8,45,25.4,47.5
36047029600,Census Tract 296; Kings County; New York,2037,58407,74162,0,0,0,0,51372,0,51415,73912,2624,44.3,1688,17.8,2.6,15.4,21,11.6,7.2,4.9,19.4,29405,1688,23.1,4.6,72.3,1688,11.3,1.4,0,10,7,13.2,8.7,14.2,6.4,27.8,0,0,1.5,3,4.3,11.7,7.4,31.6,40.6,N
36047029700,Census Tract 297; Kings County; New York,1766,86225,114750,65391,0,0,0,0,183036,0,114500,2143,41.4,1324,8.3,2.4,7.6,15.6,7.4,11.7,2.9,44.1,58971,1324,2.1,8.3,89.6,1324,1,1.4,1.2,9,5.6,28.2,11.6,10.3,5.9,25.8,0,3.5,2.3,10.8,0.8,10.3,18.8,30.4,23,N
