Name,Address,Latitude,Longitude,Zip Code,Rating,Review Count,Price,Median_household_income
Joe Coffee Company,"1045 Lexington Ave, New York, NY 10021",40.77204419,-73.96080496,10021,4.1,261,$,
Joe Coffee Company,"550 W 120th St, New York, NY 10027",40.81004952021592,-73.96202016,10027,3.8,216,$$,
Joe Coffee Company,"55 W 40th St, Ste 9, Bryant Park, New York, NY 10018",40.753458,-73.984319,10018,3.3,26,$$,
Joe Coffee Company,"105 E 42nd St Grand Central Dining Concourse, Kiosk 6 Lower Level, New York, NY 10017",40.75273071918378,-73.97723329,10017,4.1,9,,
Joe Coffee Company,"305 Dodge Hall, 305 Dodge Hall, Upper Campus Lobby, New York, NY 10027",40.81068609582502,-73.96145321,10027,5,6,,
Joe Coffee Company,"2950 Broadway Pulitzer Hall, New York, NY 10027",40.80763107470433,-73.96373331,10027,3.9,8,,
Joe Coffee Company,"141 Waverly Pl, New York, NY 10014",40.7332972,-74.0005659,10014,4.1,380,$,136559
Joe Coffee Company,"9 E 13th St, New York, NY 10003",40.73517139,-73.99326209,10003,3.9,359,$$,137533
Joe Coffee Company,"7 South St Slip, New York, NY 10004",40.70134488002155,-74.01161232,10004,3.4,18,,216017
Joe Coffee Company,"514 Columbus Ave, New York, NY 10024",40.78576795,-73.97297823,10024,4,396,$,153177
Joe Coffee Company,"187 Columbus Ave, New York, NY 10023",40.7750798,-73.9803673,10023,4,143,$,136109
Joe Coffee Company,"1045 Lexington Ave, New York, NY 10021",40.77204419,-73.96080496,10021,4.1,261,$,136060
Joe Coffee Company,"550 W 120th St, New York, NY 10027",40.81004952021592,-73.96202016,10027,3.8,216,$$,58435
Joe Coffee Company,"55 W 40th St, Ste 9, Bryant Park, New York, NY 10018",40.753458,-73.984319,10018,3.3,26,$$,130457
Joe Coffee Company,"105 E 42nd St Grand Central Dining Concourse, Kiosk 6 Lower Level, New York, NY 10017",40.75273071918378,-73.97723329,10017,4.1,9,,136112
Joe Coffee Company,"305 Dodge Hall, 305 Dodge Hall, Upper Campus Lobby, New York, NY 10027",40.81068609582502,-73.96145321,10027,5,6,,58435
Joe Coffee Company,"2950 Broadway Pulitzer Hall, New York, NY 10027",40.80763107470433,-73.96373331,10027,3.9,8,,58435
